SP     0020    SPACE
*5     309d    HIRAGANA ITERATION MARK
+5     309e    HIRAGANA VOICED ITERATION MARK
a6     30a1    KATAKANA LETTER SMALL A
A6     30a2    KATAKANA LETTER A
i6     30a3    KATAKANA LETTER SMALL I
I6     30a4    KATAKANA LETTER I
u6     30a5    KATAKANA LETTER SMALL U
U6     30a6    KATAKANA LETTER U
e6     30a7    KATAKANA LETTER SMALL E
E6     30a8    KATAKANA LETTER E
o6     30a9    KATAKANA LETTER SMALL O
O6     30aa    KATAKANA LETTER O
Ka     30ab    KATAKANA LETTER KA
Ga     30ac    KATAKANA LETTER GA
Ki     30ad    KATAKANA LETTER KI
Gi     30ae    KATAKANA LETTER GI
Ku     30af    KATAKANA LETTER KU
Gu     30b0    KATAKANA LETTER GU
Ke     30b1    KATAKANA LETTER KE
Ge     30b2    KATAKANA LETTER GE
Ko     30b3    KATAKANA LETTER KO
Go     30b4    KATAKANA LETTER GO
Sa     30b5    KATAKANA LETTER SA
Za     30b6    KATAKANA LETTER ZA
Si     30b7    KATAKANA LETTER SI
Zi     30b8    KATAKANA LETTER ZI
Su     30b9    KATAKANA LETTER SU
Zu     30ba    KATAKANA LETTER ZU
Se     30bb    KATAKANA LETTER SE
Ze     30bc    KATAKANA LETTER ZE
So     30bd    KATAKANA LETTER SO
Zo     30be    KATAKANA LETTER ZO
Ta     30bf    KATAKANA LETTER TA
Da     30c0    KATAKANA LETTER DA
Ti     30c1    KATAKANA LETTER TI
Di     30c2    KATAKANA LETTER DI
TU     30c3    KATAKANA LETTER SMALL TU
Tu     30c4    KATAKANA LETTER TU
Du     30c5    KATAKANA LETTER DU
Te     30c6    KATAKANA LETTER TE
De     30c7    KATAKANA LETTER DE
To     30c8    KATAKANA LETTER TO
Do     30c9    KATAKANA LETTER DO
Na     30ca    KATAKANA LETTER NA
Ni     30cb    KATAKANA LETTER NI
Nu     30cc    KATAKANA LETTER NU
Ne     30cd    KATAKANA LETTER NE
No     30ce    KATAKANA LETTER NO
Ha     30cf    KATAKANA LETTER HA
Ba     30d0    KATAKANA LETTER BA
Pa     30d1    KATAKANA LETTER PA
Hi     30d2    KATAKANA LETTER HI
Bi     30d3    KATAKANA LETTER BI
Pi     30d4    KATAKANA LETTER PI
Hu     30d5    KATAKANA LETTER HU
Bu     30d6    KATAKANA LETTER BU
Pu     30d7    KATAKANA LETTER PU
He     30d8    KATAKANA LETTER HE
Be     30d9    KATAKANA LETTER BE
Pe     30da    KATAKANA LETTER PE
Ho     30db    KATAKANA LETTER HO
Bo     30dc    KATAKANA LETTER BO
Po     30dd    KATAKANA LETTER PO
Ma     30de    KATAKANA LETTER MA
Mi     30df    KATAKANA LETTER MI
Mu     30e0    KATAKANA LETTER MU
Me     30e1    KATAKANA LETTER ME
Mo     30e2    KATAKANA LETTER MO
YA     30e3    KATAKANA LETTER SMALL YA
Ya     30e4    KATAKANA LETTER YA
YU     30e5    KATAKANA LETTER SMALL YU
Yu     30e6    KATAKANA LETTER YU
YO     30e7    KATAKANA LETTER SMALL YO
Yo     30e8    KATAKANA LETTER YO
Ra     30e9    KATAKANA LETTER RA
Ri     30ea    KATAKANA LETTER RI
Ru     30eb    KATAKANA LETTER RU
Re     30ec    KATAKANA LETTER RE
Ro     30ed    KATAKANA LETTER RO
WA     30ee    KATAKANA LETTER SMALL WA
Wa     30ef    KATAKANA LETTER WA
Wi     30f0    KATAKANA LETTER WI
We     30f1    KATAKANA LETTER WE
Wo     30f2    KATAKANA LETTER WO
N6     30f3    KATAKANA LETTER N
Vu     30f4    KATAKANA LETTER VU
KA     30f5    KATAKANA LETTER SMALL KA
KE     30f6    KATAKANA LETTER SMALL KE
Va     30f7    KATAKANA LETTER VA
Vi     30f8    KATAKANA LETTER VI
Ve     30f9    KATAKANA LETTER VE
Vo     30fa    KATAKANA LETTER VO
.6     30fb    KATAKANA MIDDLE DOT
-6     30fc    KATAKANA-HIRAGANA PROLONGED SOUND MARK
*6     30fd    KATAKANA ITERATION MARK
+6     30fe    KATAKANA VOICED ITERATION MARK
b4     3105    BOPOMOFO LETTER B
p4     3106    BOPOMOFO LETTER P
m4     3107    BOPOMOFO LETTER M
f4     3108    BOPOMOFO LETTER F
d4     3109    BOPOMOFO LETTER D
t4     310a    BOPOMOFO LETTER T
n4     310b    BOPOMOFO LETTER N
l4     310c    BOPOMOFO LETTER L
g4     310d    BOPOMOFO LETTER G
k4     310e    BOPOMOFO LETTER K
h4     310f    BOPOMOFO LETTER H
j4     3110    BOPOMOFO LETTER J
q4     3111    BOPOMOFO LETTER Q
x4     3112    BOPOMOFO LETTER X
zh     3113    BOPOMOFO LETTER ZH
ch     3114    BOPOMOFO LETTER CH
sh     3115    BOPOMOFO LETTER SH
r4     3116    BOPOMOFO LETTER R
z4     3117    BOPOMOFO LETTER Z
c4     3118    BOPOMOFO LETTER C
s4     3119    BOPOMOFO LETTER S
a4     311a    BOPOMOFO LETTER A
o4     311b    BOPOMOFO LETTER O
e4     311c    BOPOMOFO LETTER E
ai     311e    BOPOMOFO LETTER AI
ei     311f    BOPOMOFO LETTER EI
au     3120    BOPOMOFO LETTER AU
ou     3121    BOPOMOFO LETTER OU
an     3122    BOPOMOFO LETTER AN
en     3123    BOPOMOFO LETTER EN
aN     3124    BOPOMOFO LETTER ANG
eN     3125    BOPOMOFO LETTER ENG
er     3126    BOPOMOFO LETTER ER
i4     3127    BOPOMOFO LETTER I
u4     3128    BOPOMOFO LETTER U
iu     3129    BOPOMOFO LETTER IU
v4     312a    BOPOMOFO LETTER V
nG     312b    BOPOMOFO LETTER NG
gn     312c    BOPOMOFO LETTER GN
1c     3220    PARENTHESIZED IDEOGRAPH ONE
2c     3221    PARENTHESIZED IDEOGRAPH TWO
3c     3222    PARENTHESIZED IDEOGRAPH THREE
4c     3223    PARENTHESIZED IDEOGRAPH FOUR
5c     3224    PARENTHESIZED IDEOGRAPH FIVE
6c     3225    PARENTHESIZED IDEOGRAPH SIX
7c     3226    PARENTHESIZED IDEOGRAPH SEVEN
8c     3227    PARENTHESIZED IDEOGRAPH EIGHT
9c     3228    PARENTHESIZED IDEOGRAPH NINE
ff     fb00    LATIN SMALL LIGATURE FF
fi     fb01    LATIN SMALL LIGATURE FI
fl     fb02    LATIN SMALL LIGATURE FL
ft     fb05    LATIN SMALL LIGATURE FT
st     fb06    LATIN SMALL LIGATURE ST
NU     0000    NULL (NUL)
SH     0001    START OF HEADING (SOH)
SX     0002    START OF TEXT (STX)
EX     0003    END OF TEXT (ETX)
ET     0004    END OF TRANSMISSION (EOT)
EQ     0005    ENQUIRY (ENQ)
AK     0006    ACKNOWLEDGE (ACK)
BL     0007    BELL (BEL)
BS     0008    BACKSPACE (BS)
HT     0009    CHARACTER TABULATION (HT)
LF     000a    LINE FEED (LF)
VT     000b    LINE TABULATION (VT)
FF     000c    FORM FEED (FF)
CR     000d    CARRIAGE RETURN (CR)
SO     000e    SHIFT OUT (SO)
SI     000f    SHIFT IN (SI)
DL     0010    DATALINK ESCAPE (DLE)
D1     0011    DEVICE CONTROL ONE (DC1)
D2     0012    DEVICE CONTROL TWO (DC2)
D3     0013    DEVICE CONTROL THREE (DC3)
D4     0014    DEVICE CONTROL FOUR (DC4)
NK     0015    NEGATIVE ACKNOWLEDGE (NAK)
SY     0016    SYNCRONOUS IDLE (SYN)
EB     0017    END OF TRANSMISSION BLOCK (ETB)
CN     0018    CANCEL (CAN)
EM     0019    END OF MEDIUM (EM)
SB     001a    SUBSTITUTE (SUB)
EC     001b    ESCAPE (ESC)
FS     001c    FILE SEPARATOR (IS4)
GS     001d    GROUP SEPARATOR (IS3)
RS     001e    RECORD SEPARATOR (IS2)
US     001f    UNIT SEPARATOR (IS1)
DT     007f    DELETE (DEL)
PA     0080    PADDING CHARACTER (PAD)
HO     0081    HIGH OCTET PRESET (HOP)
BH     0082    BREAK PERMITTED HERE (BPH)
NH     0083    NO BREAK HERE (NBH)
IN     0084    INDEX (IND)
NL     0085    NEXT LINE (NEL)
SA     0086    START OF SELECTED AREA (SSA)
ES     0087    END OF SELECTED AREA (ESA)
HS     0088    CHARACTER TABULATION SET (HTS)
HJ     0089    CHARACTER TABULATION WITH JUSTIFICATION (HTJ)
VS     008a    LINE TABULATION SET (VTS)
PD     008b    PARTIAL LINE FORWARD (PLD)
PU     008c    PARTIAL LINE BACKWARD (PLU)
RI     008d    REVERSE LINE FEED (RI)
S2     008e    SINGLE-SHIFT TWO (SS2)
S3     008f    SINGLE-SHIFT THREE (SS3)
DC     0090    DEVICE CONTROL STRING (DCS)
P1     0091    PRIVATE USE ONE (PU1)
P2     0092    PRIVATE USE TWO (PU2)
TS     0093    SET TRANSMIT STATE (STS)
CC     0094    CANCEL CHARACTER (CCH)
MW     0095    MESSAGE WAITING (MW)
SG     0096    START OF GUARDED AREA (SPA)
EG     0097    END OF GUARDED AREA (EPA)
SS     0098    START OF STRING (SOS)
GC     0099    SINGLE GRAPHIC CHARACTER INTRODUCER (SGCI)
SC     009a    SINGLE CHARACTER INTRODUCER (SCI)
CI     009b    CONTROL SEQUENCE INTRODUCER (CSI)
ST     009c    STRING TERMINATOR (ST)
OC     009d    OPERATING SYSTEM COMMAND (OSC)
PM     009e    PRIVACY MESSAGE (PM)
AC     009f    APPLICATION PROGRAM COMMAND (APC)
/c     e001    JOIN THIS LINE WITH NEXT LINE (Mnemonic)
UA     e002    Unit space A (ISO-IR-8-1 064)
UB     e003    Unit space B (ISO-IR-8-1 096)
"3     e004    NON-SPACING UMLAUT (ISO-IR-38 201) (character part)
"1     e005    NON-SPACING DIAERESIS WITH ACCENT (ISO-IR-70 192)
"!     e006    NON-SPACING GRAVE ACCENT (ISO-IR-103 193) (character
"'     e007    NON-SPACING ACUTE ACCENT (ISO-IR-103 194) (character
">     e008    NON-SPACING CIRCUMFLEX ACCENT (ISO-IR-103 195)
"?     e009    NON-SPACING TILDE (ISO-IR-103 196) (character part)
"-     e00a    NON-SPACING MACRON (ISO-IR-103 197) (character part)
"(     e00b    NON-SPACING BREVE (ISO-IR-103 198) (character part)
".     e00c    NON-SPACING DOT ABOVE (ISO-IR-103 199) (character part)
":     e00d    NON-SPACING DIAERESIS (ISO-IR-103 200) (character part)
"0     e00e    NON-SPACING RING ABOVE (ISO-IR-103 202) (character part)
""     e00f    NON-SPACING DOUBLE ACCUTE (ISO-IR-103 204) (character
"<     e010    NON-SPACING CARON (ISO-IR-103 206) (character part)
",     e011    NON-SPACING CEDILLA (ISO-IR-103 203) (character part)
";     e012    NON-SPACING OGONEK (ISO-IR-103 206) (character part)
"_     e013    NON-SPACING LOW LINE (ISO-IR-103 204) (character
"=     e014    NON-SPACING DOUBLE LOW LINE (ISO-IR-38 217) (character
"/     e015    NON-SPACING LONG SOLIDUS (ISO-IR-128 201) (character
"i     e016    GREEK NON-SPACING IOTA BELOW (ISO-IR-55 39) (character
"d     e017    GREEK NON-SPACING DASIA PNEUMATA (ISO-IR-55 38)
"p     e018    GREEK NON-SPACING PSILI PNEUMATA (ISO-IR-55 37)
;;     e019    GREEK DASIA PNEUMATA (ISO-IR-18 92)
,,     e01a    GREEK PSILI PNEUMATA (ISO-IR-18 124)
b3     e01b    GREEK SMALL LETTER MIDDLE BETA (ISO-IR-18 99)
Ci     e01c    CIRCLE (ISO-IR-83 0294)
f(     e01d    FUNCTION SIGN (ISO-IR-143 221)
ed     e01e    LATIN SMALL LETTER EZH (ISO-IR-158 142)
am     e01f    ANTE MERIDIAM SIGN (ISO-IR-149 0267)
pm     e020    POST MERIDIAM SIGN (ISO-IR-149 0268)
Fl     e023    DUTCH GUILDER SIGN (IBM437 159)
GF     e024    GAMMA FUNCTION SIGN (ISO-10646-1DIS 032/032/037/122)
>V     e025    RIGHTWARDS VECTOR ABOVE (ISO-10646-1DIS 032/032/038/046)
!*     e026    GREEK VARIA (ISO-10646-1DIS 032/032/042/164)
?*     e027    GREEK PERISPOMENI (ISO-10646-1DIS 032/032/042/165)
J<     e028    LATIN CAPITAL LETTER J WITH CARON (lowercase:
